#,单词,音标,解释,笔记
136,"cart","英:/kɑːt/ 美:/kɑrt/","cart
  [carted, carted, carting]
 cart off 
     cart off sb • cart sb off informal to take someone away, especially to prison or hospital:
   ▪ I collapsed on the pitch, and was carted off on a stretcher.
   ▪ Kirk was arrested and carted off to prison.
   ■ SIMILAR TO: ↑take off",
137,"cast","英:/kɑːst/ 美:/kæst/","cast
  [cast, cast, casting]
 cast around/about for 
  1.   cast around/about/round for sth to try to think of something to do or say, especially when this is difficult and you need to think of something quickly:
   ▪ &quot;Where's your homework, Jackie?&quot; Jackie cast around for an excuse.
   ▪ He cleared his throat, casting about for something to say.
  2.   cast around/about/round for sb/sth to try to find someone or something, especially when this is difficult:
   ▪ Meanwhile the bank has been casting around for a new chief executive.
   ▪ Miles suddenly felt faint, and cast around for a chair.
 cast aside 
  1.   cast aside sb/sth • cast sb/sth aside formal to get rid of someone or something because you do not like them or need them any more:
   ▪ When Henry became King, he cast aside his former friends.
   ▪ Casting aside his military ambitions, Von Langen now launched himself on a political career.
  2.   cast aside sth • cast sth aside formal to get rid of negative feelings:
   ▪ Peace campaigners hope that one day Catholics and Protestants will cast aside centuries of hostility, and live together in peace.
   ▪ Every year thousands of northern Europeans cast their inhibitions aside, and head for Greece's nudist beaches.
   ■ SIMILAR TO: ↑cast off
 be cast away 
    be cast away to be left on an island where there are no other people, because your ship has sunk:
   ▪ If you were cast away on a desert island, do you think you'd be able to survive?
    castaway n  C someone who has been left on an island where there are no other people, because their ship has sunk:
   ▪ In stories the castaway always puts a message in a bottle and throws it out to sea.
 cast back 
    cast your mind back to try to remember something that happened in the past
   + to
   ▪ If you cast your mind back to your school chemistry lessons, you may recall that a &quot;catalyst&quot; is a substance that speeds up a chemical reaction.
 cast down 
  1.  be cast down formal to be sad and upset because something bad has happened:
   ▪ Churchill was obviously cast down by the new of this defeat.
   ▪ &quot;What is the matter?&quot; asked Betty anxiously. She couldn't remember ever seeing Lydia so miserable and cast down.
    downcast adj  sad and upset because something bad has happened:
   ▪ the sad, downcast faces of disappointed men
  2.  cast your eyes/a glance down formal to look down, especially because you are shy or ashamed:
   ▪ Diana cast her eyes down demurely and started blushing.
   ▪ She cast a glance down at the table to avoid his stare.
  3.   cast down sth • cast sth down old-fashioned, formal to destroy something completely:
   ▪ All across the continent, earthquakes cast down the cities and levelled the mountains.
 cast off 
  1.   cast off sth • cast sth off formal to get rid of something because you do not need it any more, or because it is stopping you from making progress:
   ▪ It was time to grow up, time to cast off childish things.
   ▪ Under colonial rule, the people had been encouraged to cast off their old traditions and adopt a western lifestyle.
   ■ SIMILAR TO: ↑cast aside
    cast-offs n  plural clothes that you do not wear any more and give to someone else:
   ▪ When I was a kid I always had to wear my older brother's cast-offs.
  2.   cast off to untie the rope that fastens your boat to the shore, so that you can sail away:
   ▪ It was perfect sailing weather. We cast off from San Diego and set sail for the Philippine Islands.
  3.   cast off • cast off sth • cast sth off to finish something you have been knitting by taking the last stitches off the needle in a way that stops it from coming undone. When you knit, you make something out of wool using two long needles.:
   ▪ Knit three rows in plain knitting. Cast off all stitches. Cut off wool. ►  compare  ↑cast on
 cast on 
     cast on • cast on sth • cast sth on to start something that you are knitting by making the first stitches on the needle. When you knit, you make something out of wool using two long needles.:
   ▪ Cast on and knit a few rows of stocking stitch in your main yarn. ►  compare  ↑cast off
 cast out 
  1.   cast out sb • cast sb out formal to force someone to leave a place, especially the place where they live, because you disapprove of them or something they have done:
   ▪ He had been cast out by his family when they discovered that he was gay.
   +of
   ▪ Adam and Eve were cast out of the Garden of Eden after eating the forbidden fruit.
    outcast n  C someone who is not accepted by the other people in their society:
   ▪ In these health-conscious times, smokers are often treated like social outcasts.
  2.   cast out sth • cast sth out literary to force something to go away or disappear:
   ▪ Jesus had the power to heal diseases and cast out demons.
 cast round  BrE
   ► see cast around
 cast up 
     cast up sth • cast sth up  usually passive especially BrE if the sea casts something up, it brings it to the shore:
   ▪ The body was cast up a few miles down the coast.
   +on
   ▪ a beautiful shell that had been cast up on the shore
   ■ SIMILAR TO: ↑wash up",
138,"cease","英:/siːs/ 美:/sis/","vt. & vi. 停止, 终止, 结束

时 态:  
ceased, ceasing, ceases",
139,"celibate","英:/'selɪbət/ 美:/'sɛlɪbət/","- n. 独身者
- adj. 独身的；禁欲的",
140,"cello","英:/'tʃeləʊ/ 美:/'tʃɛlo/","n. 大提琴


名 词:  
cellist

形容词:  
cello",
141,"cement","英:/sɪ'ment/ 美:/sə'mɛnt/","- n. 水泥
- 接合剂, 黏合物
- vt. 在…上抹水泥
- 粘牢
- 巩固, 加强

时 态:  
cemented, cementing, cements 

名 词:  
cementer",
142,"cemented","/sɪ'mɛnt/","灌水泥的",
143,"central fatty acids","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
144,"centroid","英:/'sentrɒɪd/ 美:/'sɛntrɔɪd/","n. 质心",
145,"chamber","英:/'tʃeɪmbə/ 美:/'tʃembɚ/","- n. （身体或器官内的）室，膛；房间；会所
- adj. 室内的；私人的，秘密的
- vt. 把…关在室内；装填（弹药等）


时 态:  
chambered, chambering, chambers",
146,"charcoal","英:/'tʃɑːkəʊl/ 美:/'tʃɑrkol/","n. 炭, 木炭

时 态:  
charcoaled, charcoaling, charcoals",
147,"charge","英:/tʃɑːdʒ/ 美:/tʃɑrdʒ/","charge
  [charged, charged, charging]
 charge up 
  1.   charge up sth • charge sth up • charge up if you charge up a battery or a piece of electrical equipment, or it charges up, electricity is put into it and stored so that it has power:
   ▪ How long will it take for the batteries to charge up?
   ▪ The shaver can be charged up overnight.
  2.   charge up sth AmE if you charge up a credit card, you use it a lot to buy things, with the result that you owe a lot of money. A credit card is a small plastic card you use to buy goods or services and pay for them later.:
   ▪ When I lost my job I had to charge up all my credit cards just to pay the bills.
   ▪ Karen charged up her Visa card on a shopping trip to Macy's.
  3.  be charged up AmE to feel excited and very eager to do something:
   ▪ We came out onto the playing field, charged up and determined to win.
 charge with 
  1.   charge sb with sth to state officially that you think someone is guilty of a crime, especially so that a court of law can decide whether they should be punished:
   ▪ Police arrested Reid and charged him with murder.
   ▪ He was charged with possession of illegal drugs.
   charge sb with doing sth
   ▪ Ames was charged with spying for the Russians.
  2.  be charged with sth formal to officially have a particular responsibility or duty:
   ▪ The Committee is charged with investigating the causes of the accident.
   ▪ The board was charged with the task of seeing that new courses were of the right standard.
  3.  be charged with emotion/anger/excitement formal to be full of emotion, anger, or excitement:
   ▪ Sabrina's voice was charged with emotion, and I could see that she was still upset.",
148,"check out","","check out
  1.   check out sth/sb • check sth/sb out to get more information about something or someone, especially so that you can find out if they are suitable or good, or whether what you have been told about them is true:
   ▪ After checking out several colleges, Karen decided on Iowa State University.
   ▪ Check us out on our new website!
   ▪ The man in the store said he needed to check out my credit background.
  2. check out sth • check sth out to make sure that information is true or correct:
   ▪ You should check out all the facts before you make a decision.
   ■ SIMILAR TO: investigate
    check out if information checks out, it is shown to be true or correct:
   ▪ As long as your references check out, we'll give you the job.
   ▪ Anyone whose credit history checks out can get a low-interest loan.
  3.   check out sb/sth • check sb/sth out AmE to look at someone or something because they are interesting, attractive, unusual etc:
   ▪ Let's check out the castle before we go back to the hotel.
   ▪ I turned around and caught Bill checking me out.
   check it out/check this out spoken, especially AmE
   ▪ Hey, check it out! Bob has a new haircut!
  4.   check out to return your room keys and pay your bill at a hotel so that you can leave:
   ▪ What time do we have to check out?
   ▪ After checking out, I realized I had left my purse in the room.
   ■ OPPOSITE: check in
    checkout n  singular when you prepare to leave a hotel by paying your bill and returning your room keys:
   ▪ Checkout is at 10am.
  5.   check out sth • check sth out AmE to borrow or rent something from a business, such as books from a library:
   ▪ The library allows you to check out six books at a time.
  6. check sb out • check out sb AmE to add up prices of a customer's products in a store and take payment for them:
   ▪ I can check you out on cash register 5.
    check out AmE to let a store worker add up the prices of products you want to buy, and then pay for them:
   ▪ It's going to take forever to check out! This line has 10 people in it!
    checkout n  C the place in a supermarket (=a large shop that sells food) where you pay for the goods that you have collected:
   ▪ We had to wait for ages at the checkout.
  7.  check out AmE informal to die:
   ▪ My grandmother just checked out one day without any warning.",
149,"cheer","英:/tʃɪə/ 美:/tʃɪr/","cheer
  [cheered, cheered, cheering]
 cheer on 
     cheer on sb/sth • cheer sb/sth on to shout in order to encourage someone who is taking part in a game, race, or competition:
   ▪ 6,000 fans cheered on their teams in the high school basketball championship game.
   ▪ With friends and family cheering me on, I finished the marathon in less than four hours.
 cheer up 
  1.   cheer up • cheer sb up • cheer up sb to feel happier after you have been feeling sad or upset, or to make someone do this:
   ▪ Cheer up, Jerry. It can't be that bad.
   ▪ We took Randy for a weekend trip to New Oreleans to cheer him up after his divorce.
   ▪ Listening to music always cheers me a up a bit.
   ▪ Craig needs cheering up. What should we do?
  2.   cheer sth up • cheer up sth to make a place look more attractive and cheerful:
   ▪ I've brought some flowers. I thought they'd cheer the place up a little/
   ■ SIMILAR TO: ↑brighten up",
150,"chile","英:/ˈtʃili/ 美:/ˈtʃɪli/","n. 红番椒，辣椒的一种；辣椒酱


形容词:  
Chilean",
151,"circumspect","英:/'sɜːkəmspekt/ 美:/'sɝkəm'spɛkt/","adj. 谨慎小心的,周到的

副 词:  
circumspectly",
152,"circumvent","英:/sɜːkəm'vent/ 美:/ˌsɝkəm'vɛnt/","vt. 设法克服或避免(某事物)；回避

时 态:  
circumvented，circumventing，circumvents 

名 词:  
circumvention",
153,"civil","英:/'sɪv(ə)l/ 美:/'sɪvl/","- adj. 公民的，平民的；非军职的，非宗教的；国民间的，民用的
- 民事的，民法的
- 文明的，有教养的

副 词:  
civilly",
154,"classify","英:/'klæsɪfaɪ/ 美:/'klæsɪfaɪ/","vt. 分类；分等


时 态:  
classified, classifying, classifies 

形容词:  
classifiable",
155,"clergy","英:/'klɜːdʒɪ/ 美:/'klɝdʒi/","n. 牧师；神职人员；僧侣",
156,"clergyman","英:/'klɜːdʒɪmən/ 美:/'klɝdʒɪmən/","n. 牧师,教士",
157,"cling","英:/klɪŋ/ 美:/klɪŋ/","cling
  [clung, clung, clinging]
 cling to/cling on to 
  1.  cling (on) to the idea/hope/belief etc to continue to have a particular idea, belief, or hope even when it seems unlikely to be true or right:
   ▪ He was clinging desperately to the hope that his family might be alive and safe somewhere.
   ▪ The government clung on to the idea of a negotiated settlement as a way out of their difficulty.
   ■ SIMILAR TO: hold onto/on to sth
  2.  cling (on) to the past/to tradition/to the old ways etc to continue to do something in the way you always have done because you do not want to change, even when most other people have changed:
   ▪ He accused me of clinging to the past, instead of looking to the future.
   ▪ It was a small community, which still clung on to its traditions.
  3.  cling (on) to power to stay in a position of power with great difficulty:
   ▪ The reforms were seen as an attempt by the Communists to cling to power.
  4.  cling (on) to your lead/the championship/the gold medal etc to stay ahead of the other people or teams in a competition, race etc with great difficulty:
   ▪ Tiger Woods managed to cling on to his lead, despite a late challenge form the Europeans.
  5.  cling on to life to struggle to stay alive after an accident, operation etc, especially when you are very ill and likely to die:
   ▪ An eighteen-year-old man was still clinging to life after being shot in the head in Santa Clara.",
