单词,解释
check out,"check out
  1.   check out sth/sb • check sth/sb out to get more information about something or someone, especially so that you can find out if they are suitable or good, or whether what you have been told about them is true:
   ▪ After checking out several colleges, Karen decided on Iowa State University.
   ▪ Check us out on our new website!
   ▪ The man in the store said he needed to check out my credit background.
  2. check out sth • check sth out to make sure that information is true or correct:
   ▪ You should check out all the facts before you make a decision.
   ■ SIMILAR TO: investigate
    check out if information checks out, it is shown to be true or correct:
   ▪ As long as your references check out, we'll give you the job.
   ▪ Anyone whose credit history checks out can get a low-interest loan.
  3.   check out sb/sth • check sb/sth out AmE to look at someone or something because they are interesting, attractive, unusual etc:
   ▪ Let's check out the castle before we go back to the hotel.
   ▪ I turned around and caught Bill checking me out.
   check it out/check this out spoken, especially AmE
   ▪ Hey, check it out! Bob has a new haircut!
  4.   check out to return your room keys and pay your bill at a hotel so that you can leave:
   ▪ What time do we have to check out?
   ▪ After checking out, I realized I had left my purse in the room.
   ■ OPPOSITE: check in
    checkout n  singular when you prepare to leave a hotel by paying your bill and returning your room keys:
   ▪ Checkout is at 10am.
  5.   check out sth • check sth out AmE to borrow or rent something from a business, such as books from a library:
   ▪ The library allows you to check out six books at a time.
  6. check sb out • check out sb AmE to add up prices of a customer's products in a store and take payment for them:
   ▪ I can check you out on cash register 5.
    check out AmE to let a store worker add up the prices of products you want to buy, and then pay for them:
   ▪ It's going to take forever to check out! This line has 10 people in it!
    checkout n  C the place in a supermarket (=a large shop that sells food) where you pay for the goods that you have collected:
   ▪ We had to wait for ages at the checkout.
  7.  check out AmE informal to die:
   ▪ My grandmother just checked out one day without any warning."
cheer,"cheer
  [cheered, cheered, cheering]
 cheer on 
     cheer on sb/sth • cheer sb/sth on to shout in order to encourage someone who is taking part in a game, race, or competition:
   ▪ 6,000 fans cheered on their teams in the high school basketball championship game.
   ▪ With friends and family cheering me on, I finished the marathon in less than four hours.
 cheer up 
  1.   cheer up • cheer sb up • cheer up sb to feel happier after you have been feeling sad or upset, or to make someone do this:
   ▪ Cheer up, Jerry. It can't be that bad.
   ▪ We took Randy for a weekend trip to New Oreleans to cheer him up after his divorce.
   ▪ Listening to music always cheers me a up a bit.
   ▪ Craig needs cheering up. What should we do?
  2.   cheer sth up • cheer up sth to make a place look more attractive and cheerful:
   ▪ I've brought some flowers. I thought they'd cheer the place up a little/
   ■ SIMILAR TO: ↑brighten up"
chile,"n. 红番椒，辣椒的一种；辣椒酱


形容词:  
Chilean"
circumspect,"adj. 谨慎小心的,周到的

副 词:  
circumspectly"
circumvent,"vt. 设法克服或避免(某事物)；回避

时 态:  
circumvented，circumventing，circumvents 

名 词:  
circumvention"
civil,"- adj. 公民的，平民的；非军职的，非宗教的；国民间的，民用的
- 民事的，民法的
- 文明的，有教养的

副 词:  
civilly"
classify,"vt. 分类；分等


时 态:  
classified, classifying, classifies 

形容词:  
classifiable"
clergy,n. 牧师；神职人员；僧侣
clergyman,"n. 牧师,教士"
cling,"cling
  [clung, clung, clinging]
 cling to/cling on to 
  1.  cling (on) to the idea/hope/belief etc to continue to have a particular idea, belief, or hope even when it seems unlikely to be true or right:
   ▪ He was clinging desperately to the hope that his family might be alive and safe somewhere.
   ▪ The government clung on to the idea of a negotiated settlement as a way out of their difficulty.
   ■ SIMILAR TO: hold onto/on to sth
  2.  cling (on) to the past/to tradition/to the old ways etc to continue to do something in the way you always have done because you do not want to change, even when most other people have changed:
   ▪ He accused me of clinging to the past, instead of looking to the future.
   ▪ It was a small community, which still clung on to its traditions.
  3.  cling (on) to power to stay in a position of power with great difficulty:
   ▪ The reforms were seen as an attempt by the Communists to cling to power.
  4.  cling (on) to your lead/the championship/the gold medal etc to stay ahead of the other people or teams in a competition, race etc with great difficulty:
   ▪ Tiger Woods managed to cling on to his lead, despite a late challenge form the Europeans.
  5.  cling on to life to struggle to stay alive after an accident, operation etc, especially when you are very ill and likely to die:
   ▪ An eighteen-year-old man was still clinging to life after being shot in the head in Santa Clara."
cling to,"抱住，固守, 贴近"
clobber,"- vt. 击倒；痛打
- n. 衣服；软膏；环草胺除草剂


时 态:  
clobbered, clobbering, clobbers"
closet,"- n. 壁橱；议事室，密室；小房间
- adj. 秘密的，私下的；空谈的
- vt. 把…关在私室中


时 态:  
closeted, closeting, closets"
clover,n. 苜蓿；三叶草；红花草
clump,"clump
  [clumped, clumped, clumping]
 clump together 
     clump together • clump sth together • clump together sth if you clump things together or they clump together, they form a tight group or a solid mass:
   ▪ Grow the plants clumped together rather than singly.
   ▪ These cells tend to clump together in the blood."
clumsy,"adj. 笨拙的, 笨重的

比较级:  
clumsier, clumsiest 

副 词:  
clumsily

名 词:  
clumsiness"
coax,"- vt. 哄, 用好话劝说
- 巧言骗取
COAXabbr. Coaxial Cable 同轴电缆

时 态:  
coaxed, coaxing, coaxes 

副 词:  
coaxingly"
coercive,"adj. 强制的；高压的；胁迫的


副 词:  
coercively

名 词:  
coerciveness"
coercivity,n. 矫顽(磁)力 矫顽(磁)性
coffee,"- n. 咖啡豆; 咖啡粉
- 咖啡
- (一杯)咖啡"
coherence,"n. 条理性,连贯性,一致性"
coherent,"adj. 条理清楚的，连贯的；前后一致的

副 词:  
coherently"
cohesive,adj. 有结合力的；紧密结合的；有粘着力的
cohesiveness,"粘结性,内聚性"
cohort,n. 一群；步兵大队；支持者；同生群
collaborate,"- vi. 合作
- 勾结叛国
- n. 协作者，合作者；勾结者

时 态:  
collaborated，collaborating，collaborates 

名 词:  
collaboration

形容词:  
collaborative

名 词:  
collaborator"
collapse,"- vi. 倒塌；瓦解；暴跌
- vt. 使倒塌，使崩溃；使萎陷
- n. 倒塌；失败；衰竭


时 态:  
collapsed, collapsing, collapses 

名 词:  
collapsibility"
collide,"- vi. 碰撞；抵触，冲突
- vt. 使碰撞；使相撞


时 态:  
collided, colliding, collides"
colophon,n. 书籍的末页；版本记录，版权页标记
colossal,adj. 巨大的；异常的，非常的
comb,"comb
  [combed, combed, combing]
 comb out 
     comb out sth • comb sth out to comb someone's hair or an animal's fur thoroughly, in order to make it straight or to remove things from it:
   ▪ She was sitting in front of the mirror, combing out her long fair hair.
   ▪ I washed my hair and combed out the tangles.
 comb through 
     comb through sth to search through a lot of information or objects in order to try and find the information that you need, or an object that you want:
   ▪ Police spent more than a day combing through every piece of evidence they could find.
   ▪ We combed through Beatrice's possessions, trying to find an address or a phone number that could help us.
   ■ SIMILAR TO: ↑sift through"
come at,"come at
  1.   come at sb to move towards someone in a threatening way, especially in order to attack them:
   ▪ I was just leaving the club when this guy came at me with a knife.
  2.   come at sb if a lot of information, problems, ideas etc come at you, you have to deal with them all at the same time, and this is often confusing or difficult:
   ▪ Consumers have so much information coming at them about different products, that it is often difficult for them to choose which one to buy.
  3.   come at sth informal to consider or try to deal with a problem or situation in a particular way:
   ▪ We need to come at the problem from a different angle.
   ▪ New trainees, who come at the job fresh, can often teach us something too.
   ■ SIMILAR TO: approach"
come down,"come down
  1.   come down to fall down from a higher position to a lower one, often to the ground:
   ▪ Snow was coming down in huge flakes which soon covered the ground.
   ▪ The ceiling looked like it might come down at any moment.
  2.   come down if a price or the level of something comes down, it becomes lower:
   ▪ Do you think property prices might come down even further?
   ▪ Interest rates have come down considerably over the past year.
   ▪ Lottie had a terrible fever in the night, but by the next morning her temperature was coming down.
   ■ SIMILAR TO: ↑fall, decrease  formal
  3.   come down to visit or move to the place where the person speaking is - use this especially when the place is further south:
   ▪ Would you like to come down for the weekend?
   + from
   ▪ Corinne's coming down from New York for Thanksgiving.
  4.   come down to accept a lower price than you have asked, for something that you are selling:
   ▪ They're asking $150, 000 for the house, but they might come down a bit.
   + to
   ▪ In the end he agreed to come down to $2000.
  5.   come down if a building, wall etc comes down, it is destroyed because it is not wanted any more:
   ▪ The Berlin wall came down in 1989.
   ▪ Eventually the old farm cottages came down, and modern housing developments went up.
   ■ SIMILAR TO: be demolished
  6.   come down if a plane comes down, it crashes to the ground, or it lands somewhere where it had not planned to land:
   ▪ The plane came down in Bilmermeer, and there were no survivors.
   ▪ Due to a severe sandstorm, the plane had to come down in the desert.
  7.   come down to reach as far as a particular point or place:
   ▪ I'd love to have a garden that comes down to the river here.
   ▪ His fine blond hair came down almost to his shoulders.
  8.   come down if knowledge, tradition, ideas etc come down to people, they have been passed from older people to younger people over a long period of time:
   + to
   ▪ Most of what we know of this civilization comes down to us in stories.
   ▪ It's a tradition that has come down to us through several centuries.
   ■ SIMILAR TO: be handed down
  9.  come down in favour of/against sth/sb to decide to support or oppose something or someone, after thinking about it carefully
   come down in favour of sth/sb
   ▪ The president is expected to come down in favor of military intervention in Kosovo.
   come down on the side of sth/sb
   ▪ When the German people had to decide whether Berlin or Bonn should be their capital, they came down on the side of Berlin.
   ▪ The judge in the case came down on the side of the unions.
   come down against sth/sb
   ▪ The Board of Directors came down against the merger.
   ■ SIMILAR TO: ↑come out
  10.   come down informal to gradually stop feeling the excitement caused by taking an illegal drug or by a very enjoyable experience
   + off
   ▪ An addict coming down off heroin is in a dangerous and deeply depressed state.
   + from
   ▪ International matches are incredibly exciting, and players have to learn how to come down from them afterwards.
    come-down n  singular BrE something that is much less enjoyable or interesting than what you have been doing before, or than what you expected:
   ▪ My next job was a bit of a come-down, but I needed the money.
  11.   come down if an order, message etc comes down, it is sent to people from someone in authority:
   ▪ The order came down from the boss that we were to speed up the production and worry less about the quality.
   ▪ It'll be ages before a decision comes down to us about it.
  12.   come down BrE old-fashioned to leave a university after finishing your course
   + from
   ▪ Adrian joined the family firm after coming down from Cambridge.
   ■ SIMILAR TO: ↑leave"
